OID_,ident,DateTimeSim,POINT_X,POINT_Y
9770,ASQ4255,4/7/2021 11:22:47,-76.41444263,38.99111722
9998,AWI3982,4/7/2021 11:22:47,-77.56811807,38.68987222
10203,ASQ5146,4/7/2021 11:22:47,-76.35841772,38.74048937
10453,ASQ5209,4/7/2021 11:22:47,-76.16854452,38.67583572
10606,AWI4057,4/7/2021 11:22:47,-77.29773853,38.97650571
10957,ASQ5132,4/7/2021 11:22:47,-77.12439933,39.35766939
11509,DAL1469,4/7/2021 11:22:47,-77.7661471,39.01308079
11902,ASQ5477,4/7/2021 11:22:47,-77.81517496,39.40261707
12110,DAL1467,4/7/2021 11:22:47,-76.03052658,39.31917968
12222,AWI4121,4/7/2021 11:22:47,-77.30820333,38.97526583
12553,AWI3903,4/7/2021 11:22:47,-77.48875383,39.1796977
12872,DAL1946,4/7/2021 11:22:47,-76.05544074,38.65906149
12989,AWI876A,4/7/2021 11:22:47,-77.03295339,39.04510718
13371,DAL151,4/7/2021 11:22:47,-77.29652971,38.96573824
13738,DAL2039,4/7/2021 11:22:47,-76.70970341,38.70659335
14018,DAL1561,4/7/2021 11:22:47,-77.03507851,39.4404506
14593,DAL1437,4/7/2021 11:22:47,-77.6621954,39.4503084
102,AAL1072,4/7/2021 11:22:48,-78.05180676,39.30482134
212,AAL1227,4/7/2021 11:22:48,-77.03573145,38.70296996
356,AAL1435,4/7/2021 11:22:48,-76.787773,38.70219267
776,AAL1202,4/7/2021 11:22:48,-77.30437639,38.993049
1131,AAL1678,4/7/2021 11:22:48,-77.13444495,39.34813746
1691,AAL1710,4/7/2021 11:22:48,-77.35147095,38.84708298
2050,AAL1936,4/7/2021 11:22:48,-77.47693352,38.72080916
2327,AAL1970,4/7/2021 11:22:48,-76.72720269,38.71287289
2642,AAL2129,4/7/2021 11:22:48,-76.35126293,38.78069441
3061,AAL1992,4/7/2021 11:22:48,-76.55441962,39.35537495
3723,AAL2056,4/7/2021 11:22:48,-76.58781442,39.33450605
4282,AAL2072,4/7/2021 11:22:48,-76.66976513,38.71476297
4613,AAL2262,4/7/2021 11:22:48,-77.75615923,39.43000406
4833,AAL324,4/7/2021 11:22:48,-77.03826718,39.03993847
5188,AAL327,4/7/2021 11:22:48,-77.79080913,39.01864217
5625,AAL2149,4/7/2021 11:22:48,-77.10383536,39.05841928
6033,AAL2248,4/7/2021 11:22:48,-76.99266422,39.19391301
6492,AAY1622,4/7/2021 11:22:48,-76.6499959,38.72601937
6741,ASH6006,4/7/2021 11:22:48,-77.72551384,38.80146932
7177,ASH6154,4/7/2021 11:22:48,-77.78657213,38.98014749
7405,AMX409,4/7/2021 11:22:48,-76.48608814,39.40040161
8019,ASH6263,4/7/2021 11:22:48,-77.80227559,38.95510695
8292,ASH6301,4/7/2021 11:22:48,-77.04010208,39.436627
8882,ASQ4103,4/7/2021 11:22:48,-76.17663057,38.82879419
9082,ASQ4242,4/7/2021 11:22:48,-76.61781614,39.22384865
9525,ASQ4457,4/7/2021 11:22:48,-77.8359438,39.39259506
9771,ASQ4255,4/7/2021 11:22:48,-76.41230162,38.99297889
9999,AWI3982,4/7/2021 11:22:48,-77.57040419,38.68811038
10204,ASQ5146,4/7/2021 11:22:48,-76.35613107,38.74224949
10454,ASQ5209,4/7/2021 11:22:48,-76.16615111,38.67750878
10607,AWI4057,4/7/2021 11:22:48,-77.30089862,38.97605577
10958,ASQ5132,4/7/2021 11:22:48,-77.12640408,39.35572831
11510,DAL1469,4/7/2021 11:22:48,-77.76309538,39.01230063
11903,ASQ5477,4/7/2021 11:22:48,-77.81791866,39.40132563
12111,DAL1467,4/7/2021 11:22:48,-76.02836327,39.32101712
12223,AWI4121,4/7/2021 11:22:48,-77.31130654,38.97467578
12554,AWI3903,4/7/2021 11:22:48,-77.4907473,39.18165061
12873,DAL1946,4/7/2021 11:22:48,-76.05354602,38.66108741
12990,AWI876A,4/7/2021 11:22:48,-77.02993822,39.04596848
13372,DAL151,4/7/2021 11:22:48,-77.29814846,38.96358056
13739,DAL2039,4/7/2021 11:22:48,-76.70724167,38.70820415
14019,DAL1561,4/7/2021 11:22:48,-77.03707636,39.43850758
14594,DAL1437,4/7/2021 11:22:48,-77.65898275,39.45030273
103,AAL1072,4/7/2021 11:22:49,-78.05466553,39.30368711
213,AAL1227,4/7/2021 11:22:49,-77.03529796,38.70545413
357,AAL1435,4/7/2021 11:22:49,-76.78557653,38.70402231
777,AAL1202,4/7/2021 11:22:49,-77.30758453,38.99318133
1132,AAL1678,4/7/2021 11:22:49,-77.13644946,39.34619597
1692,AAL1710,4/7/2021 11:22:49,-77.35263645,38.84475131
2051,AAL1936,4/7/2021 11:22:49,-77.47854496,38.71864072
2328,AAL1970,4/7/2021 11:22:49,-76.72482025,38.7145546
2643,AAL2129,4/7/2021 11:22:49,-76.35445227,38.78099562
3062,AAL1992,4/7/2021 11:22:49,-76.556935,39.35382963
3724,AAL2056,4/7/2021 11:22:49,-76.59030881,39.33294006
4283,AAL2072,4/7/2021 11:22:49,-76.66691486,38.71591952
4614,AAL2262,4/7/2021 11:22:49,-77.75888488,39.42869051
4834,AAL324,4/7/2021 11:22:49,-77.03507433,39.03966182
5189,AAL327,4/7/2021 11:22:49,-77.78776145,39.01785258
5626,AAL2149,4/7/2021 11:22:49,-77.10140887,39.06005421
6034,AAL2248,4/7/2021 11:22:49,-76.995036,39.19223355
6493,AAY1622,4/7/2021 11:22:49,-76.64688489,38.72664485
6742,ASH6006,4/7/2021 11:22:49,-77.7227562,38.80275379
7178,ASH6154,4/7/2021 11:22:49,-77.7839087,38.97875098
7406,AMX409,4/7/2021 11:22:49,-76.48857317,39.39882823
8020,ASH6263,4/7/2021 11:22:49,-77.79921826,38.95587436
8293,ASH6301,4/7/2021 11:22:49,-77.04213331,39.43470463
8883,ASQ4103,4/7/2021 11:22:49,-76.17516769,38.83102237
9083,ASQ4242,4/7/2021 11:22:49,-76.61978132,39.22187978
9526,ASQ4457,4/7/2021 11:22:49,-77.83869253,39.39130985
9772,ASQ4255,4/7/2021 11:22:49,-76.41016062,38.99484052
10000,AWI3982,4/7/2021 11:22:49,-77.5726903,38.6863485
10205,ASQ5146,4/7/2021 11:22:49,-76.35384441,38.74400957
10455,ASQ5209,4/7/2021 11:22:49,-76.16375771,38.67918181
10608,AWI4057,4/7/2021 11:22:49,-77.30405871,38.97560582
10959,ASQ5132,4/7/2021 11:22:49,-77.12840882,39.35378717
11511,DAL1469,4/7/2021 11:22:49,-77.7600541,39.01149625
11904,ASQ5477,4/7/2021 11:22:49,-77.82066236,39.40003418
12112,DAL1467,4/7/2021 11:22:49,-76.02619996,39.32285451
12224,AWI4121,4/7/2021 11:22:49,-77.31428294,38.9737357
12555,AWI3903,4/7/2021 11:22:49,-77.49274077,39.18360347
12874,DAL1946,4/7/2021 11:22:49,-76.0516513,38.66311327
12991,AWI876A,4/7/2021 11:22:49,-77.02692305,39.04682978
13373,DAL151,4/7/2021 11:22:49,-77.29976722,38.96142282
13740,DAL2039,4/7/2021 11:22:49,-76.70477993,38.70981492
14020,DAL1561,4/7/2021 11:22:49,-77.03907422,39.43656452
14595,DAL1437,4/7/2021 11:22:49,-77.65577011,39.45029705
104,AAL1072,4/7/2021 11:22:50,-78.05752431,39.30255287
214,AAL1227,4/7/2021 11:22:50,-77.03485856,38.70793759
358,AAL1435,4/7/2021 11:22:50,-76.78338006,38.7058519
778,AAL1202,4/7/2021 11:22:50,-77.31079267,38.99331367
1133,AAL1678,4/7/2021 11:22:50,-77.13845398,39.34425443
1693,AAL1710,4/7/2021 11:22:50,-77.35380194,38.84241956
2052,AAL1936,4/7/2021 11:22:50,-77.4801564,38.71647222
2329,AAL1970,4/7/2021 11:22:50,-76.72243781,38.71623626
2644,AAL2129,4/7/2021 11:22:50,-76.3576416,38.78129683
3063,AAL1992,4/7/2021 11:22:50,-76.55945037,39.35228427
3725,AAL2056,4/7/2021 11:22:50,-76.5928032,39.33137404
4284,AAL2072,4/7/2021 11:22:50,-76.66406458,38.71707605
4615,AAL2262,4/7/2021 11:22:50,-77.76161052,39.42737693
4835,AAL324,4/7/2021 11:22:50,-77.03188148,39.03938516
5190,AAL327,4/7/2021 11:22:50,-77.78471377,39.01706299
5627,AAL2149,4/7/2021 11:22:50,-77.09898237,39.06168911
6035,AAL2248,4/7/2021 11:22:50,-76.99740777,39.19055405
6494,AAY1622,4/7/2021 11:22:50,-76.64377389,38.72727032
6743,ASH6006,4/7/2021 11:22:50,-77.71999857,38.80403825
7179,ASH6154,4/7/2021 11:22:50,-77.78124526,38.97735443
7407,AMX409,4/7/2021 11:22:50,-76.49105821,39.39725481
8021,ASH6263,4/7/2021 11:22:50,-77.79616093,38.95664177
8294,ASH6301,4/7/2021 11:22:50,-77.04416455,39.43278221
8884,ASQ4103,4/7/2021 11:22:50,-76.17370481,38.83325048
9084,ASQ4242,4/7/2021 11:22:50,-76.6217465,39.21991084
9527,ASQ4457,4/7/2021 11:22:50,-77.84144128,39.39002462
9773,ASQ4255,4/7/2021 11:22:50,-76.40801961,38.99670209
10001,AWI3982,4/7/2021 11:22:50,-77.57499554,38.68460226
10206,ASQ5146,4/7/2021 11:22:50,-76.35155776,38.74576961
10456,ASQ5209,4/7/2021 11:22:50,-76.1613643,38.6808548
10609,AWI4057,4/7/2021 11:22:50,-77.3072188,38.97515587
10960,ASQ5132,4/7/2021 11:22:50,-77.13041356,39.35184598
11512,DAL1469,4/7/2021 11:22:50,-77.75701403,39.01068908
11905,ASQ5477,4/7/2021 11:22:50,-77.82340607,39.3987427
12113,DAL1467,4/7/2021 11:22:50,-76.02403665,39.32469186
12225,AWI4121,4/7/2021 11:22:50,-77.31725934,38.97279561
12556,AWI3903,4/7/2021 11:22:50,-77.49473423,39.18555627
12875,DAL1946,4/7/2021 11:22:50,-76.04975659,38.66513908
12992,AWI876A,4/7/2021 11:22:50,-77.02390788,39.04769106
13374,DAL151,4/7/2021 11:22:50,-77.30138598,38.95926501
13741,DAL2039,4/7/2021 11:22:50,-76.70231818,38.71142566
14021,DAL1561,4/7/2021 11:22:50,-77.04107208,39.43462139
14596,DAL1437,4/7/2021 11:22:50,-77.65255746,39.45029138
105,AAL1072,4/7/2021 11:22:51,-78.06038308,39.30141861
215,AAL1227,4/7/2021 11:22:51,-77.03441916,38.71042097
359,AAL1435,4/7/2021 11:22:51,-76.7811836,38.70768144
779,AAL1202,4/7/2021 11:22:51,-77.31400081,38.993446
1134,AAL1678,4/7/2021 11:22:51,-77.14045849,39.34231283
1694,AAL1710,4/7/2021 11:22:51,-77.35496744,38.84008774
2053,AAL1936,4/7/2021 11:22:51,-77.48176784,38.71430365
2330,AAL1970,4/7/2021 11:22:51,-76.71965924,38.71748311
2645,AAL2129,4/7/2021 11:22:51,-76.36083093,38.78159804
3064,AAL1992,4/7/2021 11:22:51,-76.56196575,39.35073888
3726,AAL2056,4/7/2021 11:22:51,-76.59529759,39.32980798
4285,AAL2072,4/7/2021 11:22:51,-76.66121431,38.71823256
4616,AAL2262,4/7/2021 11:22:51,-77.76433616,39.42606333
